date,Uriah,Veylan,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin
10-28-15,0,0,0,0,33,0,37,0,0,36,0
10-28-25,0,0,0,0,0,0,39,0,0,32,0
10-28-35,0,0,0,0,0,0,33,0,0,32,0
10-28-45,0,0,0,0,32,0,0,0,0,0,0
10-28-55,0,0,0,0,35,0,32,0,0,0,0
10-29-05,0,0,0,0,32,0,0,0,0,0,0
10-29-15,0,0,0,0,34,0,32,0,0,0,0
10-29-25,0,0,0,0,33,0,0,0,0,0,0
10-29-35,0,0,0,0,34,0,32,0,0,0,0
10-29-45,0,0,0,0,34,0,0,0,0,0,0
10-29-55,0,0,0,0,34,0,0,0,0,0,0
