date,Alice,Bob,Chris,Dave,Eliza,George,Helen,Ivan,Jack,Kelly,Linda,Meg,Noah,Oscar,Peter,Quinn
14-27-05,0,37,0,32,36,0,0,0,32,0,0,0,0,50,42,0
14-28-05,0,36,0,0,36,0,0,0,33,0,0,0,0,50,42,0
14-29-05,0,37,0,33,36,0,35,0,0,0,0,0,0,50,42,0
14-30-05,0,37,0,34,36,0,0,0,0,0,0,0,0,49,42,0
14-31-05,0,37,0,0,36,0,0,0,0,0,0,0,0,50,42,0
14-32-05,0,37,0,0,36,0,0,0,0,0,0,0,0,50,42,0
14-33-05,0,37,0,32,36,0,0,0,0,0,0,0,0,50,42,0
14-34-05,0,37,0,0,36,0,0,0,0,0,0,0,0,50,42,0
14-35-05,0,37,0,33,36,0,0,0,33,0,0,0,0,50,42,0
14-36-05,0,37,0,0,36,0,0,0,32,0,0,0,0,50,42,0
14-37-05,0,37,0,0,36,0,0,35,32,0,0,0,0,50,42,0
14-38-05,0,36,0,0,35,0,0,33,32,0,0,0,0,49,41,0
14-39-05,0,37,0,0,37,0,0,34,0,0,0,0,0,50,42,0
14-40-05,0,38,0,0,36,0,0,34,34,0,0,0,0,50,41,0
14-41-05,0,37,0,0,36,0,0,34,32,0,0,0,0,50,42,0
14-42-05,0,37,0,0,35,0,0,34,0,0,0,0,0,49,42,0
14-43-05,0,37,0,0,36,0,0,35,34,0,0,0,0,50,42,0
14-44-05,0,37,0,0,37,0,0,35,0,0,0,0,0,49,42,0
14-45-05,0,37,0,0,36,0,32,35,33,0,0,0,0,51,42,0
14-46-05,0,36,0,0,37,0,0,34,0,0,0,0,0,50,42,0
14-47-05,0,36,0,0,37,0,0,35,0,0,0,0,0,50,42,0
14-48-05,0,36,0,0,36,0,0,35,33,0,0,0,0,50,42,0
14-49-05,0,36,0,0,36,0,0,35,32,0,0,0,0,50,42,0
14-50-05,0,36,0,0,36,0,0,34,32,0,0,0,0,49,42,0
14-51-05,0,36,0,32,36,0,0,34,32,0,0,0,0,50,43,0
14-52-05,0,36,0,0,36,0,0,35,36,0,0,0,0,50,42,0
14-53-05,0,37,0,0,37,0,0,34,33,0,0,0,0,50,42,0
14-54-05,0,35,0,32,37,0,0,34,33,0,0,0,0,50,42,0
14-55-05,0,37,0,0,36,0,0,34,33,0,0,0,0,50,42,0
14-56-05,0,36,0,0,36,0,0,34,32,0,0,0,0,49,41,0
14-57-05,0,37,0,33,36,0,0,34,32,0,0,0,0,50,42,0
14-58-05,0,35,0,0,33,0,0,34,0,0,0,0,0,49,43,0
