date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Eleanor,Bodhi,Mary,Erin,Taj,Beatrice,Willa
13-59-01,0,52,0,0,33,0,34,0,33,49,0,0,0,0,46,0
14-00-01,31,51,0,0,0,0,42,0,0,48,0,0,0,0,48,0
14-01-01,31,52,0,0,33,0,0,0,0,51,0,0,0,0,48,0
14-02-01,31,50,0,0,31,0,42,0,0,48,0,31,0,0,47,0
14-03-01,0,50,0,33,32,0,0,0,0,51,0,0,0,0,47,0
14-04-01,0,50,31,0,33,0,0,0,0,50,0,0,0,0,47,0
14-05-01,31,51,0,31,32,0,0,0,0,47,0,0,0,0,48,0
14-06-01,31,50,0,0,31,0,0,0,0,49,0,0,0,0,47,0
14-07-01,31,52,0,0,32,0,0,0,0,50,0,0,0,0,45,0
14-08-01,31,51,0,0,0,0,32,0,0,50,0,0,0,0,42,0
14-09-01,31,52,0,0,31,0,0,0,0,51,0,0,0,0,48,0
14-10-01,31,51,0,0,32,0,0,0,0,48,0,0,0,0,46,0
14-11-01,39,52,0,0,0,0,35,0,0,50,0,0,0,0,43,0
14-12-01,31,50,0,0,0,0,0,0,0,49,0,0,0,0,47,0
14-13-01,0,51,0,0,0,0,0,0,0,49,0,0,0,0,47,0
14-14-01,31,50,0,0,33,0,32,0,0,49,0,0,0,0,47,0
14-15-01,0,51,0,0,0,0,0,0,0,50,0,0,0,0,46,0
14-16-01,0,51,0,0,31,0,39,0,0,50,0,0,0,0,46,0
14-17-01,31,50,0,0,34,0,35,0,0,50,0,0,0,0,46,0
14-18-01,0,51,0,0,31,0,42,0,0,48,0,0,0,0,47,0
14-19-01,31,50,0,0,0,0,0,0,0,50,0,0,0,0,47,0
14-20-01,35,50,0,0,0,0,0,0,0,49,0,0,0,0,46,0
14-21-01,35,51,0,0,33,0,0,0,0,45,0,0,0,0,45,0
14-22-01,33,51,0,0,0,0,31,0,0,49,0,0,0,0,45,0
14-23-01,35,51,0,0,0,0,36,0,0,49,0,0,0,0,48,0
14-24-01,0,50,0,0,0,0,33,0,0,49,0,0,0,0,46,0
14-25-01,0,50,0,0,31,0,0,0,31,49,0,0,0,0,46,0
14-26-01,0,50,0,0,32,0,0,0,0,46,0,0,0,0,47,0
14-27-01,31,50,0,0,32,0,0,0,0,49,0,0,0,0,47,0
14-28-01,39,51,36,0,31,0,0,0,0,49,0,0,0,0,46,0
14-29-01,0,51,0,0,33,0,0,0,0,49,0,0,0,0,47,0
14-30-01,32,51,0,0,31,0,0,0,0,0,0,0,0,0,46,0
14-31-01,0,51,31,0,31,0,0,0,0,49,0,0,0,0,47,0
14-32-01,34,51,33,0,0,0,31,0,0,48,0,0,0,0,47,0
14-33-01,31,51,0,0,0,0,0,0,0,47,0,0,0,0,47,0
14-34-01,35,49,0,0,32,0,0,0,0,48,0,0,0,0,45,0
14-35-01,33,50,0,0,32,0,0,0,0,50,0,0,0,0,47,0
14-36-01,31,50,0,0,33,33,0,0,0,49,0,0,0,0,48,0
14-37-01,31,50,0,0,31,0,0,0,0,49,0,0,0,0,47,0
14-38-01,31,51,0,0,33,0,0,0,0,47,0,0,0,0,47,0
14-39-01,31,50,0,0,32,0,0,0,0,51,0,0,0,0,47,0
14-40-01,0,50,0,0,32,0,0,0,0,51,0,0,0,0,46,0
14-41-01,31,51,0,0,0,0,35,0,0,51,0,0,0,0,48,0
14-42-01,31,50,0,0,31,0,36,0,0,49,0,0,0,0,47,0
14-43-01,31,51,0,0,31,0,0,0,0,50,0,0,0,0,48,0
14-44-01,31,51,0,0,32,0,0,0,0,46,0,0,0,0,48,0
14-45-01,33,51,0,0,34,0,31,0,0,48,0,0,0,0,45,0
14-46-01,31,50,0,0,32,0,34,0,0,48,0,0,0,0,45,0
14-47-01,31,51,0,0,31,0,0,0,0,50,0,0,0,0,46,0
14-48-01,0,51,0,0,32,0,0,0,0,51,0,0,0,0,48,0
14-49-01,0,50,0,0,32,32,0,0,0,52,0,0,0,0,48,0
14-50-01,0,51,0,0,0,0,0,0,0,49,0,0,0,0,48,0
14-51-01,31,52,0,0,33,0,0,0,0,51,0,0,0,0,48,0
14-52-01,31,52,0,32,0,38,0,0,0,52,0,0,0,0,48,0
14-53-01,31,50,43,0,32,53,0,0,0,47,0,0,0,0,48,0
14-54-01,31,51,50,0,0,45,0,0,0,51,0,0,0,0,48,0
14-55-01,0,48,62,46,0,54,0,0,0,0,0,0,0,0,0,0
14-56-01,0,52,62,59,0,53,0,0,0,49,0,0,0,0,51,0
14-57-01,0,52,63,59,0,55,0,0,0,44,0,0,0,0,48,0
14-58-01,37,52,60,0,0,49,0,0,0,49,0,0,0,0,52,0
14-59-01,0,51,62,58,0,57,0,0,0,47,0,0,0,0,52,0
15-00-01,0,52,62,60,0,56,0,0,0,47,0,0,0,0,0,0
15-01-01,0,0,62,58,0,55,0,0,0,36,0,0,0,0,52,0
15-02-01,0,51,61,58,0,55,0,35,0,41,0,0,0,0,53,31
15-03-01,0,42,62,60,31,56,0,34,0,40,0,0,0,0,51,0
