date,Uriah,Veylan,Sofi,Neve,Elliot,Riella,Dash,Dario,Bodhi,Mary,Erin,Taj,Silas,Beatrice,Willa
14-48-01,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
14-49-11,0,0,38,0,0,0,46,0,0,0,0,0,0,0,0,0
14-50-01,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
14-51-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-52-01,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-53-01,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
14-56-21,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
14-57-21,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14-59-11,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-00-11,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15-01-51,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0
15-02-01,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
15-03-01,0,38,38,0,0,38,0,0,0,0,0,0,0,38,0,0
15-04-01,0,46,57,57,0,49,52,0,0,49,0,0,0,61,38,0
15-05-01,0,0,58,57,0,50,48,0,0,49,0,0,0,59,0,0
15-06-01,0,45,56,56,0,48,52,0,0,49,0,0,0,61,0,0
15-07-01,0,47,52,55,0,0,50,0,0,47,0,0,0,61,0,0
15-08-01,0,47,56,57,0,50,48,0,0,0,0,0,0,61,0,0
15-09-01,0,46,56,58,0,51,52,0,0,0,0,0,0,61,0,0
15-10-01,0,46,57,56,0,49,52,0,0,48,0,0,0,61,0,0
15-11-01,0,46,53,56,0,50,51,0,0,49,0,0,0,61,38,0
15-12-01,0,42,55,57,0,50,51,0,0,46,0,0,0,61,0,0
15-13-01,0,47,56,55,0,50,0,0,0,0,0,0,0,60,0,0
15-14-01,0,46,56,55,0,50,52,0,0,0,0,0,0,59,0,0
15-15-01,0,45,55,57,0,49,50,0,0,47,0,0,0,0,0,0
15-16-01,0,46,57,56,0,49,50,0,0,0,0,0,0,59,0,0
15-17-01,0,44,56,55,0,49,51,0,0,47,0,0,0,61,0,0
15-18-01,0,44,56,57,0,48,51,0,0,0,0,0,0,60,38,0
15-19-01,0,46,55,55,0,51,0,0,0,50,0,0,0,61,0,0
15-20-01,0,47,57,57,0,49,0,0,0,48,0,0,0,61,0,0
15-21-01,0,47,57,57,0,49,53,0,0,46,0,0,0,61,0,0
15-22-01,0,47,57,57,0,52,52,0,0,49,0,0,0,60,38,0
15-23-01,0,47,57,57,0,51,51,0,0,48,0,0,0,60,38,0
15-24-01,0,46,56,57,0,51,51,0,0,48,0,0,0,60,38,0
15-25-01,0,0,56,57,0,50,51,0,0,48,0,0,0,61,38,0
15-26-01,0,46,57,57,0,52,51,0,0,50,0,0,0,61,38,0
15-27-01,0,45,0,58,0,53,52,0,0,48,0,0,0,61,39,0
15-28-01,0,46,56,57,0,53,50,0,0,48,0,0,0,61,0,0
15-29-01,0,45,57,57,0,50,51,0,0,48,0,0,0,62,0,0
15-30-01,0,45,55,57,0,48,51,0,0,0,0,0,0,61,38,0
15-31-01,0,46,56,57,0,0,51,0,0,0,0,0,0,60,0,0
15-32-01,0,46,57,57,0,51,0,0,0,48,0,0,0,61,0,0
15-33-01,0,46,55,56,0,51,0,0,0,49,0,0,0,60,39,0
15-34-01,0,43,57,57,0,50,50,0,0,48,0,0,0,60,38,0
15-35-01,0,46,57,57,0,52,50,0,0,48,0,0,0,59,0,0
15-36-01,0,46,58,56,0,51,50,0,0,48,0,0,0,60,38,0
15-37-01,0,46,56,57,0,0,50,0,0,48,0,0,0,60,0,0
15-38-01,0,44,57,58,0,0,50,0,0,49,0,0,0,61,0,0
15-39-01,0,44,57,57,0,51,50,0,0,47,0,0,0,62,41,0
15-40-01,0,46,57,57,0,51,50,0,0,48,0,0,0,61,0,0
15-41-01,0,46,55,57,0,50,50,0,0,46,0,0,0,61,0,0
15-42-01,0,42,57,56,0,50,51,0,0,46,0,0,0,61,0,0
15-43-01,0,45,57,56,0,50,51,0,0,48,0,0,0,61,0,0
15-44-01,0,46,57,57,0,50,52,0,0,48,0,0,0,61,0,0
15-45-01,0,0,57,56,0,47,0,0,0,48,0,0,0,60,0,0
15-46-01,0,46,56,55,0,50,52,0,0,46,0,0,0,60,38,0
15-47-01,0,42,57,57,0,51,50,0,0,49,0,0,0,60,0,0
15-48-01,0,0,57,56,0,0,52,0,0,46,0,0,0,61,0,0
15-49-01,0,43,57,57,0,0,52,0,0,47,0,0,0,61,0,0
15-50-01,0,45,57,57,0,0,52,0,0,46,0,0,0,61,0,0
15-51-01,0,45,57,58,0,0,51,0,0,0,0,0,0,61,38,0
15-52-01,0,45,58,57,0,50,50,0,0,48,0,0,0,60,0,0
15-53-01,0,47,55,57,0,49,52,0,0,45,0,0,0,61,38,0
15-54-01,0,46,57,57,0,49,52,0,0,46,0,0,0,61,0,0
15-55-01,0,46,57,57,0,0,50,0,0,0,0,0,0,61,0,0
15-56-01,0,46,57,57,0,50,52,0,0,0,0,0,0,61,38,0
15-57-01,0,45,58,58,0,50,52,0,0,48,0,0,0,61,38,0
15-58-01,0,46,57,57,0,50,48,0,0,47,0,0,0,61,0,0
15-59-01,0,47,57,57,0,49,51,0,0,0,0,0,0,61,0,0
